filename,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes,name,qc
2_Chow_IC_left_S14,0010,S14,4.6,34,2,chow,3227,IC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,NA,25.9,26,0.10000000000000142,0.00386100386100391,2.3882498109302572e-4,741.7,734.4,11778.55000000011,728.5701030927903,NA,S0010_02_chow_IC,ok
3_Chow_IC_left_S67,0010,S67,17,35,3,chow,3227,IC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16,NA,26.2,26.4,0.1999999999999993,0.00763358778625951,4.770992366412197e-4,743.5,735.3,13230.700000000072,826.9187500000046,NA,S0010_03_chow_IC,ok
4_Chow_IC_right_S69,0010,S69,20.2,35,4,chow,3227,IC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,NA,23.5,24,0.5,0.02127659574468085,0.00131607808729984,743.5,735.3,13230.700000000072,818.3938144329942,NA,S0010_04_chow_IC,ok
5_Chow_IC_right_S15,0010,S15,11.1,36,5,chow,3227,IC,right,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16,NA,24.7,24.4,-0.3000000000000007,-0.01214574898785428,-7.591093117408925e-4,713.6,706.4,11617.200000000072,726.0750000000046,NA,S0010_05_chow_IC,ok
6_Chow_IC_right_S22,0010,S22,14.8,36,6,chow,3227,IC,right,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,NA,25.9,27,1.1000000000000014,0.04247104247104252,0.00263795294851195,713.6,706.4,11617.200000000072,721.5652173913088,NA,S0010_06_chow_IC,ok
1_Chow_PFC_left_S1,0010,S1,61.2,34,1,chow,3227,PFC,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16,NA,23.4,24.6,1.2000000000000028,0.0512820512820514,0.00320512820512821,741.7,734.4,11778.55000000011,736.1593750000069,NA,S0010_01_chow_PFC,ok
2_Chow_PFC_left_S63,0010,S63,24.4,34,2,chow,3227,PFC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,NA,25.9,26,0.10000000000000142,0.00386100386100391,2.3882498109302572e-4,741.7,734.4,11778.55000000011,728.5701030927903,NA,S0010_02_chow_PFC,ok
3_Chow_PFC_left_S34,0010,S34,31.6,35,3,chow,3227,PFC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16,NA,26.2,26.4,0.1999999999999993,0.00763358778625951,4.770992366412197e-4,743.5,735.3,13230.700000000072,826.9187500000046,NA,S0010_03_chow_PFC,ok
4_Chow_PFC_right_S6,0010,S6,25.8,35,4,chow,3227,PFC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,NA,23.5,24,0.5,0.02127659574468085,0.00131607808729984,743.5,735.3,13230.700000000072,818.3938144329942,NA,S0010_04_chow_PFC,ok
5_Chow_PFC_right_S11,0010,S11,18.1,36,5,chow,3227,PFC,right,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16,NA,24.7,24.4,-0.3000000000000007,-0.01214574898785428,-7.591093117408925e-4,713.6,706.4,11617.200000000072,726.0750000000046,NA,S0010_05_chow_PFC,fail PCA
