Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
10_Fasting_Hip_right_S3_R1_001	3607.0	2260.0	913.0	1010.5	1108.0	1538.0	1968.0	2726.0	3484.0	4944.5	6405.0	9339.5	12274.0	17711.0	23148.0	33179.5	43211.0	61466.5	79722.0	112822.5	145923.0	184817.5	223712.0	283144.5	342577.0	421529.5	586449.0	672416.0	784748.5	897081.0	1000035.0	1102989.0	1221974.5	1340960.0	1449292.5	1557625.0	1690973.0	1824321.0	1926428.0	2028535.0	2114172.5	2199810.0	2265794.5	2331779.0	2374122.5	2416466.0	2438990.0	2461514.0	2449884.0	2438254.0	2403032.0	2367810.0	2255784.5	2143759.0	2018645.0	1893531.0	1736166.5	1578802.0	1483375.5	1387949.0	1248514.0	1109079.0	955483.0	801887.0	685301.0	568715.0	477800.0	386885.0	333371.0	279857.0	265132.5	250408.0	225404.5	200401.0	175490.5	136955.0	123330.0	103823.0	84316.0	73181.0	62046.0	67555.5	73065.0	110639.0	148213.0	104333.0	60453.0	48291.0	36129.0	29906.5	23684.0	39298.5	54913.0	28169.5	1426.0	895.0	364.0	225.5	87.0	49.0	11.0
10_Fasting_Hip_right_S3_R2_001	7030.0	5154.5	3279.0	3321.5	3364.0	3921.0	4478.0	5803.0	7128.0	9593.0	12058.0	16728.5	21399.0	29681.0	37963.0	53336.5	68710.0	96058.5	123407.0	159976.0	196545.0	245810.5	295076.0	362957.0	430838.0	531126.5	726364.5	821314.0	912083.5	1002853.0	1102117.0	1201381.0	1313249.0	1425117.0	1525107.5	1625098.0	1735243.5	1845389.0	1930607.5	2015826.0	2090019.5	2164213.0	2211508.5	2258804.0	2291669.0	2324534.0	2334914.5	2345295.0	2323818.5	2302342.0	2242699.5	2183057.0	2085701.5	1988346.0	1866083.5	1743821.0	1610466.5	1477112.0	1377518.0	1277924.0	1180023.0	1082122.0	913710.0	745298.0	648479.0	551660.0	496951.5	442243.0	376443.5	310644.0	290142.0	269640.0	243475.5	217311.0	192168.5	158301.0	149576.0	146133.5	142691.0	183189.5	223688.0	167787.0	111886.0	94467.5	77049.0	64012.5	50976.0	40822.5	30669.0	21028.0	11387.0	9011.5	6636.0	5164.5	3693.0	3008.0	2323.0	2025.5	1728.0	3175.0	4622.0
10_Fasting_Hyp_both_S24_R1_001	8980.0	5328.5	1677.0	1757.0	1837.0	2567.0	3297.0	4747.0	6197.0	8596.0	10995.0	15978.5	20962.0	29614.5	38267.0	54133.5	70000.0	99264.5	128529.0	185119.5	241710.0	297891.5	354073.0	451998.0	549923.0	671828.0	928415.5	1063098.0	1240017.0	1416936.0	1563977.0	1711018.0	1893349.0	2075680.0	2220262.0	2364844.0	2576665.0	2788486.0	2929537.5	3070589.0	3185140.0	3299691.0	3386030.5	3472370.0	3508316.0	3544262.0	3568343.0	3592424.0	3581153.5	3569883.0	3638573.5	3707264.0	3476298.5	3245333.0	3039273.0	2833213.0	2599018.0	2364823.0	2279221.0	2193619.0	2020336.0	1847053.0	1605120.5	1363188.0	1157744.5	952301.0	799206.5	646112.0	573733.5	501355.0	529794.0	558233.0	533750.5	509268.0	435237.0	343907.5	326609.0	293891.5	261174.0	223096.5	185019.0	196442.5	207866.0	295668.5	383471.0	285142.5	186814.0	158015.5	129217.0	112035.0	94853.0	167137.0	239421.0	123447.5	7474.0	5320.5	3167.0	1987.5	808.0	445.5	83.0
10_Fasting_Hyp_both_S24_R2_001	14030.0	10032.5	6035.0	5985.5	5936.0	6880.5	7825.0	9850.0	11875.0	15740.5	19606.0	26538.0	33470.0	45536.0	57602.0	80440.0	103278.0	147910.0	192542.0	247532.0	302522.0	371617.5	440713.0	540270.0	639827.0	809317.5	1129172.5	1279537.0	1407772.0	1536007.0	1679739.0	1823471.0	2008891.5	2194312.0	2332739.5	2471167.0	2643568.0	2815969.0	2926696.5	3037424.0	3155810.5	3274197.0	3309824.5	3345452.0	3387071.0	3428690.0	3438051.0	3447412.0	3414561.5	3381711.0	3290594.0	3199477.0	3073672.0	2947867.0	2791405.0	2634943.0	2449530.0	2264117.0	2162453.0	2060789.0	1929886.5	1798984.0	1511271.0	1223558.0	1075585.0	927612.0	860280.5	792949.0	681175.5	569402.0	545022.0	520642.0	476535.0	432428.0	388934.5	334924.0	324407.0	375064.0	425721.0	644334.0	862947.0	603452.5	343958.0	299090.0	254222.0	220210.0	186198.0	164528.5	142859.0	106809.5	70760.0	58621.0	46482.0	38118.0	29754.0	25244.0	20734.0	17230.5	13727.0	16368.0	19009.0
10_Fasting_IC_right_S2_R1_001	3155.0	2135.5	1116.0	1218.0	1320.0	1792.5	2265.0	3181.5	4098.0	5697.0	7296.0	10981.5	14667.0	21261.5	27856.0	39334.0	50812.0	72640.0	94468.0	133107.5	171747.0	216238.5	260730.0	331295.0	401860.0	493444.5	686696.5	788364.0	915621.5	1042879.0	1162188.5	1281498.0	1419690.0	1557882.0	1683256.0	1808630.0	1962894.5	2117159.0	2238526.0	2359893.0	2458151.0	2556409.0	2638079.0	2719749.0	2769089.0	2818429.0	2850320.0	2882211.0	2872173.0	2862135.0	2833721.5	2805308.0	2675389.5	2545471.0	2397563.5	2249656.0	2070612.0	1891568.0	1780208.5	1668849.0	1511558.0	1354267.0	1174670.0	995073.0	847935.5	700798.0	597442.0	494086.0	435022.5	375959.0	368624.0	361289.0	332405.5	303522.0	270877.5	218031.0	197829.0	164136.5	130444.0	116449.0	102454.0	109342.0	116230.0	170553.5	224877.0	171020.5	117164.0	105378.0	93592.0	81027.0	68462.0	116546.5	164631.0	84253.5	3876.0	2230.5	585.0	374.0	163.0	94.0	25.0
10_Fasting_IC_right_S2_R2_001	7737.0	5937.5	4138.0	4195.5	4253.0	5088.0	5923.0	7380.5	8838.0	11733.0	14628.0	20535.5	26443.0	36843.0	47243.0	66125.5	85008.0	118624.0	152240.0	196613.0	240986.0	299713.5	358441.0	439239.5	520038.0	638365.0	868774.0	980856.0	1086399.0	1191942.0	1308085.0	1424228.0	1554239.5	1684251.0	1798866.5	1913482.0	2038637.0	2163792.0	2258098.5	2352405.0	2437557.0	2522709.0	2575668.0	2628627.0	2665576.0	2702525.0	2717263.5	2732002.0	2709574.5	2687147.0	2619159.0	2551171.0	2442709.5	2334248.0	2190070.5	2045893.0	1893573.0	1741253.0	1628715.0	1516177.0	1398944.5	1281712.0	1094000.0	906288.0	796467.0	686646.0	631096.0	575546.0	501377.0	427208.0	405818.0	384428.0	351101.0	317774.0	283473.0	239906.0	230640.0	234560.5	238481.0	330991.5	423502.0	304014.0	184526.0	155888.5	127251.0	107003.0	86755.0	69443.5	52132.0	35464.0	18796.0	14533.5	10271.0	8095.0	5919.0	5087.0	4255.0	3649.5	3044.0	4725.0	6406.0
10_Fasting_PFC_right_S62_R1_001	4524.0	2912.5	1301.0	1545.0	1789.0	2338.5	2888.0	3839.5	4791.0	6500.0	8209.0	11887.0	15565.0	22268.0	28971.0	41288.5	53606.0	75419.0	97232.0	138963.5	180695.0	226161.0	271627.0	345955.0	420283.0	520061.5	725738.0	831636.0	968306.0	1104976.0	1227331.5	1349687.0	1497515.0	1645343.0	1775814.5	1906286.0	2068694.0	2231102.0	2355489.0	2479876.0	2586978.0	2694080.0	2774054.5	2854029.0	2900507.0	2946985.0	2974012.0	3001039.0	2989208.0	2977377.0	2945281.0	2913185.0	2789855.5	2666526.0	2526200.5	2385875.0	2211197.5	2036520.0	1899308.0	1762096.0	1586510.5	1410925.0	1234922.5	1058920.0	920468.5	782017.0	667647.5	553278.0	479596.5	405915.0	379122.0	352329.0	312907.5	273486.0	237745.5	184594.0	167183.0	140532.5	113882.0	98108.0	82334.0	72344.5	62355.0	67045.0	71735.0	53877.5	36020.0	29561.0	23102.0	18380.5	13659.0	17829.5	22000.0	11500.0	1000.0	728.5	457.0	275.5	94.0	53.5	13.0
10_Fasting_PFC_right_S62_R2_001	9404.0	6977.0	4550.0	4466.5	4383.0	5088.5	5794.0	7308.0	8822.0	11775.5	14729.0	20403.0	26077.0	35569.0	45061.0	62534.0	80007.0	114880.5	149754.0	191549.0	233344.0	289748.5	346153.0	426917.0	507681.0	629943.0	870647.5	989090.0	1097691.5	1206293.0	1327313.0	1448333.0	1590450.5	1732568.0	1854581.5	1976595.0	2115342.5	2254090.0	2359019.0	2463948.0	2560576.0	2657204.0	2705920.0	2754636.0	2795610.0	2836584.0	2853214.0	2869844.0	2851843.0	2833842.0	2772071.0	2710300.0	2607811.5	2505323.0	2367119.0	2228915.0	2073063.5	1917212.0	1786685.5	1656159.0	1518055.5	1379952.0	1195686.0	1011420.0	887619.0	763818.0	681668.5	599519.0	519119.5	438720.0	400505.5	362291.0	330715.5	299140.0	266001.0	213964.5	195067.0	178232.5	161398.0	169295.5	177193.0	136175.0	95157.0	82148.5	69140.0	57385.5	45631.0	38694.5	31758.0	22928.5	14099.0	11348.0	8597.0	6698.0	4799.0	3984.0	3169.0	2746.0	2323.0	4009.0	5695.0
10_Fasting_SC_right_S88_R1_001	7.0	8.0	9.0	16.0	23.0	35.5	48.0	74.0	100.0	150.5	201.0	269.5	338.0	391.5	445.0	525.5	606.0	687.0	768.0	843.0	918.0	943.5	969.0	1049.0	1129.0	1126.0	1104.0	1085.0	1088.5	1092.0	1057.5	1023.0	1037.5	1052.0	1042.0	1032.0	1012.5	993.0	971.5	950.0	904.5	859.0	848.0	837.0	816.5	796.0	790.0	784.0	767.5	751.0	712.0	673.0	627.0	581.0	511.5	442.0	447.5	453.0	402.5	352.0	304.0	256.0	235.5	215.0	186.5	158.0	130.5	103.0	91.5	80.0	76.5	73.0	68.0	63.0	59.0	50.0	45.0	37.5	30.0	25.5	21.0	21.5	22.0	33.0	44.0	28.0	12.0	19.5	27.0	25.0	23.0	23.5	24.0	15.5	7.0	4.5	2.0	1.0	0.0	0.0	0.0
