Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
16_Highfatdiet_Hip_right_S8	497482.0	22178532.0	5138.0	1021206.0	1128351.0
16_Highfatdiet_Hyp_both_S85	994787.0	35203169.0	10123.0	2831448.0	4165674.0
16_Highfatdiet_IC_right_S46	985977.0	37666195.0	11221.0	2043255.0	2269112.0
16_Highfatdiet_PFC_right_S76	1681741.0	73285698.0	18487.0	3371453.0	4035176.0
16_Highfatdiet_SC_right_S59	818682.0	33761113.0	8555.0	1602949.0	2544892.0
17_Highfatdiet_Hip_right_S33	1534095.0	69298105.0	17020.0	2977026.0	3765757.0
17_Highfatdiet_Hyp_both_S26	893796.0	34940279.0	10016.0	2008626.0	2454032.0
17_Highfatdiet_IC_right_S29	947644.0	38948627.0	10165.0	1426604.0	1893535.0
17_Highfatdiet_PFC_right_S89	959204.0	40291407.0	11512.0	2065287.0	2264087.0
17_Highfatdiet_SC_right_S64	1050598.0	42929532.0	11626.0	2074884.0	2549423.0
18_Highfatdiet_Hip_right_S53	735618.0	32964926.0	8179.0	1544451.0	1761548.0
18_Highfatdiet_Hyp_both_S13	800002.0	32076055.0	8890.0	1793294.0	2159378.0
18_Highfatdiet_IC_right_S70	784435.0	30963922.0	8605.0	1580176.0	2246582.0
18_Highfatdiet_PFC_right_S48	908349.0	40452534.0	10475.0	1834409.0	2351268.0
18_Highfatdiet_SC_right_S90	934912.0	41649326.0	10677.0	2013276.0	2384195.0
1_Chow_Hip_left_S17	811447.0	35520131.0	9375.0	1670692.0	1861977.0
1_Chow_Hyp_both_S80	1116229.0	44135444.0	13241.0	2504653.0	2716560.0
1_Chow_IC_left_S5	500534.0	21912899.0	5670.0	984328.0	1215137.0
1_Chow_PFC_left_S1	1201227.0	52051557.0	14239.0	2713777.0	3230254.0
1_Chow_SC_left_S21	1600530.0	64878037.0	17233.0	3085012.0	4112231.0
2_Chow_Hip_left_S71	1043026.0	48361075.0	13506.0	2184093.0	2349099.0
2_Chow_Hyp_both_S44	2546430.0	102675346.0	29694.0	5488745.0	6612305.0
2_Chow_IC_left_S14	875203.0	34920552.0	9833.0	1561561.0	1861613.0
2_Chow_PFC_left_S63	997831.0	39424253.0	11331.0	2178492.0	2470894.0
2_Chow_SC_left_S43	958371.0	38036155.0	10810.0	1804463.0	2183747.0
3_Chow_Hip_left_S4	866151.0	38303574.0	9761.0	1832329.0	2207976.0
3_Chow_Hyp_both_S78	1820723.0	73094748.0	21031.0	4033282.0	5147678.0
3_Chow_IC_left_S67	1418211.0	59885790.0	15544.0	2547197.0	3576612.0
3_Chow_PFC_left_S34	1042937.0	42820393.0	12660.0	2273273.0	2458375.0
3_Chow_SC_left_S87	751471.0	30676722.0	8128.0	1327629.0	2017088.0
4_Chow_Hip_right_S68	64433.0	1532447.0	901.0	474233.0	3490177.0
4_Chow_Hyp_both_S25	954970.0	38234042.0	10516.0	2175704.0	2650269.0
4_Chow_IC_right_S69	866544.0	34968115.0	9012.0	1662565.0	2757166.0
4_Chow_PFC_right_S6	1255413.0	49501456.0	15143.0	3015067.0	2818561.0
4_Chow_SC_right_S65	1700551.0	71902488.0	18556.0	3392581.0	4530384.0
5_Chow_Hip_right_S54	2707366.0	121487647.0	30063.0	5290154.0	6411131.0
5_Chow_Hyp_both_S84	878697.0	34086547.0	9774.0	1835842.0	2317035.0
5_Chow_IC_right_S15	768810.0	32280351.0	8152.0	1346631.0	1931856.0
5_Chow_PFC_right_S11	1169992.0	47210504.0	13246.0	2617065.0	3249256.0
5_Chow_SC_right_S47	978084.0	40255213.0	10707.0	2045143.0	2472159.0
6_Chow_Hip_right_S86	958665.0	41489862.0	10265.0	1839889.0	2395502.0
6_Chow_Hyp_both_S66	717443.0	29278988.0	7940.0	1556153.0	2034596.0
6_Chow_IC_right_S22	994680.0	42281319.0	10324.0	1853862.0	2392304.0
6_Chow_PFC_right_S61	580957.0	24958633.0	6482.0	1289676.0	1580091.0
6_Chow_SC_right_S31	1093006.0	49430031.0	11715.0	1537479.0	2093888.0
7_Fasting_Hip_left_S45	1180327.0	51725599.0	13556.0	2240951.0	2593296.0
7_Fasting_Hyp_both_S49	862582.0	34861909.0	10271.0	1871270.0	2172784.0
7_Fasting_IC_left_S19	823840.0	34719283.0	9181.0	1484720.0	2092496.0
7_Fasting_PFC_left_S51	1006963.0	39185684.0	11426.0	2076968.0	2157664.0
7_Fasting_SC_left_S42	898234.0	36967606.0	10306.0	1750371.0	2080597.0
8_Fasting_Hip_left_S38	866875.0	38804082.0	9561.0	1642362.0	2038206.0
8_Fasting_Hyp_both_S9	2177871.0	87020780.0	24094.0	5158901.0	5659947.0
8_Fasting_IC_left_S32	884562.0	35865502.0	9258.0	1509876.0	2127025.0
8_Fasting_PFC_left_S56	3115843.0	133763666.0	35353.0	6334436.0	7839572.0
8_Fasting_SC_left_S60	942103.0	38933837.0	9937.0	1755449.0	2518848.0
9_Fasting_Hip_left_S36	961029.0	42443027.0	10155.0	1980801.0	2770088.0
9_Fasting_Hyp_both_S39	920002.0	35947733.0	10037.0	1986943.0	2154913.0
9_Fasting_IC_left_S83	953367.0	35730501.0	10371.0	1774233.0	2515600.0
9_Fasting_PFC_left_S79	814563.0	33771613.0	8728.0	1694159.0	1935298.0
9_Fasting_SC_left_S20	817664.0	33591155.0	9007.0	1574868.0	2556594.0
Undetermined_S0	400525.0	13061610.0	5596.0	1317060.0	26923909.0
