Sample	Perfect Index Reads	Mismatched Index Reads
85-143_3_ICL_fast	60141101.0	969223.0
85-1_Chow_Hyp_both	50048688.0	437439.0
86-13_Highfatdiet_IC_left	40963001.0	428645.0
86-145_5_ZIL_fast	102234417.0	1802136.0
87-11_Fasting_PFC_right	40037534.0	330339.0
87-145_3_SCL_fast	45083195.0	686193.0
88-142_5_SCL_fast	27567474.0	539203.0
88-9_Fasting_IC_left	40650497.0	333575.0
89-143_1_SCL_chow	42492461.0	29416933.0
89-5_Chow_Hyp_both	24257013.0	14870882.0
9-143_1_HIPL_chow	4347585.0	97861.0
9-8_Fasting_Hyp_both	99173378.0	868215.0
90-145_1_ZIL_chow	35051917.0	618094.0
90-16_Highfatdiet_Hyp_both	42769111.0	436090.0
91-142_2_HIPL_chow	62511305.0	1495607.0
91-6_Chow_Hip_right	46101768.0	592415.0
92-144_1_Hyp_chow	3741.0	134096.0
92-3_Chow_SC_left	34470231.0	310807.0
93-10_Fasting_SC_right	4258.0	17441.0
93-142_5_Hyp_fast	62473409.0	866630.0
94-143_2_ICL_chow	45282538.0	679608.0
94-17_Highfatdiet_PFC_right	45235043.0	356454.0
95-144_3_SCL_chow	20599877.0	370896.0
95-18_Highfatdiet_SC_right	46562714.0	429672.0
undetermined	0.0	282957878.0
