	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hyp_both_S24_R2_001 - illumina_universal_adapter	0.00706179137248716	0.007217091454560636	0.008857339512415326	0.014708139233677852	0.019665527246832293	0.02322695946606785	0.026285847599492606	0.029126617640117536	0.031368871634099744	0.035459022110282075	0.038421938282874914	0.04061009898984276	0.04300590812115605	0.04506494291718641	0.046972167520628084	0.04880784938963142	0.05050219073450046	0.05202029266038725	0.05347034174132049	0.05472146712162029	0.05577017891180185	0.056759562580741864	0.057799549647211436	0.05890060977966496	0.05992314739871054	0.06088286700702977	0.06189667990236336	0.06321411318287432	0.06476013422463947	0.06784345158445781	0.07003335723616806	0.0727258069736891	0.07726789813815269	0.08045765712725733	0.08396325111473614	0.08766427891336358	0.09225697347535672	0.09689503660065221	0.10244745077096458	0.10868737316978198
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hyp_both_S24_R2_001 - polya	0.030880287106228137	0.04078459346408263	0.04525863178359265	0.05041843338686533	0.05468831317151472	0.058436454478186926	0.06355961224186923	0.07317600271722795	0.08308030907508245	0.09373843156165312	0.09734348739944865	0.10167444025008199	0.10693544864841378	0.11259779433749727	0.11782215889623869	0.12346007535892858	0.13004898670622572	0.13579857963242914	0.14207340092609452	0.14854191108616616	0.15355339238633495	0.15869748948692605	0.16523056260246644	0.17577002884655402	0.18311450126730974	0.18835806021821755	0.19272740185318366	0.19761499207664215	0.2025601654765998	0.20736399835242317	0.21239118415527355	0.21779702296722445	0.22307548081298023	0.22809394189211862	0.2326063689959614	0.2375201333905559	0.24209537850512503	0.24693585522053876	0.251664655472439	0.25611077467607063
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_Hyp_both_S24_R2_001 - polyg	0.6423996619693045	0.6433995153066989	0.6435373659413484	0.6437711885368298	0.6439387032321001	0.6441201774853095	0.6443068865727462	0.6451566746622943	0.649541720799942	0.651441965624414	0.6556403026746251	0.6585438907259764	0.6745014103952116	0.6760299819895529	0.6766372227599076	0.6778063357373146	0.6782914303757014	0.67861773504253	0.6788951812565713	0.6791377285757647	0.6794238995135181	0.6796455074958028	0.6798897997597385	0.6801358369684167	0.680381874177095	0.680579052932986	0.680828580031149	0.6810973015214784	0.6813695129012926	0.6816068253862588	0.6818720569871034	0.6821686975933111	0.6824635932547765	0.6827933878110899	0.683205194770296	0.6836152567847595	0.6840654525282984	0.6846569887959716	0.6857144253098651	0.687359908201947
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_IC_right_S2_R1_001 - polya	0.005409609685658584	0.010285135025233079	0.014596777321302483	0.019467718245889134	0.02361432160239607	0.0280176521982224	0.03354874888105891	0.04033139085557745	0.05070362976557961	0.06334286188707174	0.06857597159569824	0.07370593196709821	0.07933788577966733	0.08475666429530161	0.09066826742212936	0.0959747277705614	0.10183590233252283	0.10754808340737927	0.11295310867805002	0.11848649756838045	0.12389839946153296	0.12975728181600046	0.13521273565153752	0.14084468946410664	0.14641246146684592	0.15176935038014427	0.15735087562784708	0.16299887489287368	0.16864228974291243	0.17429258121543295	0.17991995061301422	0.18563900831035243	0.19095234528126623	0.1966393120736895	0.20234003211107635	0.20793072618875486	0.21363603064112952	0.21982499087472196	0.22578931477390995	0.2317719763330493
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_IC_right_S2_R2_001 - polya	0.023660165752274535	0.03318199568203121	0.03755094316544869	0.042674026914366885	0.04732950033452476	0.050914512855020536	0.05468977859751193	0.06247182303938095	0.07192030232933208	0.08131606084692299	0.08499963828965745	0.08868092352489801	0.09329513721016526	0.09811106515489776	0.1028628112898004	0.10824720669302583	0.11415651761235966	0.11900682866950099	0.1238731851790998	0.12898939230553622	0.13350045665357693	0.13813988462127735	0.14314606578800546	0.14958029222344768	0.1547652655747018	0.1593038364126696	0.16370945921598987	0.16825719888393334	0.17284619828676745	0.17745353534955294	0.1819485542451362	0.18653067702548853	0.19089504009391817	0.19516313044760303	0.19941059093384259	0.20405689552402476	0.20856566766457155	0.21311340733251505	0.21770011452785523	0.22213553602859648
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_IC_right_S2_R2_001 - polyg	0.16498163437511718	0.16562345247341567	0.16574952388558142	0.16592602386261351	0.16603834202981574	0.16615524461200584	0.16628819264665337	0.1666480692231993	0.16777354310271556	0.16850704950077097	0.16964856883274468	0.17060441935771062	0.17463870454701533	0.17513840578069056	0.17550057456473042	0.17603695111830844	0.17635098354497591	0.17658249650186214	0.17686214581612075	0.17707073669806778	0.1772816197875087	0.1774993794994314	0.17772630804132977	0.17789593139588009	0.17814119759772987	0.1783910482145675	0.17866840532133219	0.17892054814566374	0.17917039876250135	0.17946838573671137	0.17971135973106722	0.18000247008279546	0.18029358043452368	0.18058469078625192	0.18086663230800448	0.18124026212951394	0.18159555429107202	0.18195772307511188	0.1825055606661595	0.18323906706421492
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_PFC_right_S62_R1_001 - polya	0.006888888455579011	0.011998498226748262	0.016496550193562477	0.021650475747656005	0.02564332778913345	0.02908666412234985	0.03405446338816141	0.040360599298286164	0.05066845040647323	0.06347128009329712	0.06844794251569356	0.07340687862492025	0.07880675677424352	0.084270892808807	0.09005188669127906	0.0952080280345188	0.10083170088760968	0.10656394740886503	0.1119638255581883	0.11755426157408598	0.12312475548766771	0.12884813885233823	0.13401979071960146	0.13935319519453832	0.14456694705557963	0.14978291470576713	0.15505870866290242	0.16044972365564084	0.1658784070638649	0.17163945884402104	0.1769905896321276	0.18273613088826024	0.18795209853844774	0.19362673454190155	0.1988493495595277	0.20428246454604418	0.2100878321091246	0.2161147785868264	0.22267573024876577	0.2286096135823266
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_PFC_right_S62_R2_001 - polya	0.0292218272602689	0.0395695625730878	0.043894782986497335	0.04874292963841335	0.05312132899133201	0.056562449535402196	0.06025395425299455	0.06806461099339854	0.07740859382298255	0.08681018717036813	0.0905061234662529	0.09452334918833871	0.09926735375038266	0.10420856354643966	0.10945112066638174	0.11517671982019846	0.12124576629167833	0.1265503655077144	0.13170207527266173	0.1368803745073636	0.14170193168952505	0.14669188884679873	0.15195438806905676	0.15844000290002483	0.16391300209117315	0.16862820139431633	0.17309301652393735	0.17789684739292908	0.1825544361782707	0.18729622495116843	0.19213772423564582	0.19694155510463754	0.20176975965423763	0.20655364842091342	0.21101846355053444	0.2158909838830588	0.22077901473960668	0.22593958766113884	0.23097829217962923	0.23587740198190818
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_PFC_right_S62_R2_001 - polyg	0.13691361134455682	0.13749636389001108	0.13762266387134525	0.13777555332243402	0.1379018533037682	0.1380104269719327	0.13813672695326687	0.13846687953605274	0.1395592635851362	0.1401154266608359	0.14116349492699506	0.14189248955609943	0.14524719432346728	0.14573023635734192	0.1460138573680573	0.14642156257096064	0.14667859411192147	0.1468935256591042	0.14709516247140966	0.1473876466387099	0.1476380308122321	0.14790614129892396	0.14816982020732342	0.1484046938568221	0.1486927464458299	0.14895199377593693	0.1492023779494591	0.1494261726532267	0.1496521831461405	0.14992472521112482	0.1501928356978167	0.15055400932864957	0.15082655139363388	0.1511168197717879	0.15144475656542755	0.1518347354551612	0.15217818277282436	0.15259253534316636	0.15305120369643263	0.15363174045274067
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_SC_right_S88_R1_001 - polya	0.06912760956726116	0.07373611687174524	0.14747223374349047	0.1843402921793631	0.2442508871376561	0.3041614820959491	0.3502465551407899	0.42398267201253514	0.46545923775289183	0.5391953546246371	0.5714549057560256	0.5991059495829301	0.6313655007143186	0.6728420664546754	0.714318632195032	0.7465781833264206	0.7834462417622932	0.8295313148071339	0.8848334024609429	0.9355269828102678	0.9770035485506244	1.0276971288999492	1.0783907092492742	1.1060417530761786	1.133692796903083	1.1705608553389557	1.1982118991658601	1.248905479515185	1.2949905525600258	1.3226415963869302	1.3779436840407393	1.4102032351721276	1.4516798009124845	1.4931563666528411	1.54845845430665	1.603760541960459	1.6452371077008157	1.6867136734411725	1.7466242683994655	1.8065348633577585
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_SC_right_S88_R2_001 - polya	0.3225955113138854	0.4516337158394396	0.5207613254067007	0.5622378911470575	0.5991059495829301	0.6267569934098346	0.6451910226277708	0.6958846029770958	0.7557951979353887	0.8110972855891977	0.8387483294161021	0.8710078805474907	0.9032674316788792	0.9631780266371722	0.9954375777685608	1.0092630996820129	1.0599566800313378	1.0876077238582422	1.129084289598599	1.1475183188165354	1.1797778699479238	1.2304714502972487	1.244296972210701	1.2811650306465736	1.318033089082446	1.3318586109958985	1.3549011475183188	1.3779436840407393	1.3963777132586754	1.428637264390064	1.4655053228259367	1.483939352043873	1.5115903958707775	1.539241439697682	1.5668924835245863	1.5853265127425227	1.6268030784828793	1.6498456150052998	1.714364717268077	1.7420157610949814
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
10_Fasting_SC_right_S88_R2_001 - polyg	0.20277432139729942	0.20277432139729942	0.20277432139729942	0.20277432139729942	0.20277432139729942	0.20277432139729942	0.20277432139729942	0.20277432139729942	0.20738282870178348	0.20738282870178348	0.20738282870178348	0.20738282870178348	0.21199133600626757	0.21659984331075166	0.21659984331075166	0.21659984331075166	0.21659984331075166	0.21659984331075166	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572	0.22120835061523572
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hip_right_S35_R1_001 - illumina_universal_adapter	0.08017667333224217	0.08065109151764005	0.080888300610339	0.08254876425923159	0.08444643700082312	0.08515806427891993	0.08753015520590936	0.08966503704019982	0.09013945522559771	0.09251154615258712	0.09417200980147972	0.09535805526497441	0.09915340074815748	0.10081386439705006	0.10176270076784583	0.10318595532403949	0.10532083715832995	0.10579525534372784	0.10721850989992149	0.10816734627071725	0.10911618264151302	0.11030222810500773	0.11077664629040561	0.1119626917539003	0.11314873721739502	0.11433478268088973	0.11741850088597595	0.12097663727646008	0.12382314638884738	0.1435115010828595	0.17529751950451763	0.18336262865628164	0.23436258358655404	0.24147885636752228	0.25666023830025453	0.2635393019885238	0.27350208388187935	0.28132998394094444	0.291055556741601	0.30386484774734385
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hip_right_S35_R1_001 - polya	0.0018976727415915308	0.00521860003937671	0.006879063688269299	0.009962781893355536	0.012572081913043891	0.014944172840033304	0.01755347285972166	0.020162772879410013	0.02656741838228143	0.03249764569975496	0.034395318441346495	0.03581857299754014	0.03819066392452956	0.040088336666121084	0.04293484577850838	0.04483251852009991	0.04910228218868086	0.050762745837573446	0.05432088222805757	0.056930182247745924	0.05882785498933745	0.06380924593601522	0.06665575504840252	0.06784180051189723	0.06926505506809087	0.07163714599508028	0.07424644601476864	0.07590690966366123	0.07733016421985488	0.080888300610339	0.08373480972272629	0.0865813188351136	0.08871620066940406	0.09132550068909241	0.09274875524528606	0.0946464279868776	0.09749293709926489	0.09939060984085642	0.10413479169483525	0.1055580462510289
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hip_right_S35_R2_001 - illumina_universal_adapter	0.08468364609352205	0.08515806427891993	0.08539527337161888	0.08705573702051148	0.088953409762103	0.08942782794750088	0.0917999188744903	0.09393480070878077	0.09440921889417865	0.09725572800656594	0.0986789825627596	0.0998650280262543	0.10366037350943737	0.10532083715832995	0.10603246443642678	0.10745571899262042	0.10935339173421195	0.10982780991960985	0.11125106447580349	0.11219990084659925	0.11314873721739502	0.11575803723708337	0.11646966451518019	0.11741850088597595	0.11860454634947067	0.12097663727646008	0.12477198275964314	0.12880453733552513	0.13165104644791245	0.1532370738835161	0.18739518323216364	0.19546029238392765	0.25666023830025453	0.2673346474717069	0.2865485839803211	0.29413927494668723	0.3076601932305269	0.3173857660311835	0.3294834297588295	0.34513922987695966
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hip_right_S35_R2_001 - polya	0.028702300216571903	0.053609254949960744	0.08753015520590936	0.13520918283839656	0.1572696284593981	0.1921393650861425	0.3536787572141215	0.5534088132666302	0.6082041136800855	0.7362970237375139	0.7514784056702462	0.7808923331649149	0.8171853243478528	0.8821806157473628	0.9104084977785368	0.9402968434586034	1.0093246894339953	1.0598502261788698	1.1836733725677173	1.3236267372600927	1.3480592738080837	1.4002452742018507	1.5473149116751943	2.0233935607219697	2.2698538080361694	2.3270211993766146	2.344100254050938	2.383002545253565	2.398183927186297	2.4311559910714498	2.4729047913864632	2.551421001069813	2.6382395289976257	2.664569738287208	2.6866301839082096	2.6942208748745755	2.70442086586063	2.7105883022708026	2.7143836477539858	2.717467365959072
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hip_right_S35_R2_001 - polyg	47.89275302500896	47.91433905244456	47.91837160702044	47.92382741615251	47.930469270748084	47.93379019804587	47.93877158899255	47.98218085295645	48.27252478241996	48.40915721981455	48.69855231290726	48.91014282359471	50.112081296300246	50.222620733497955	50.245867224582454	50.326755525192794	50.35000201627729	50.35735549815095	50.359964798170644	50.361150843634135	50.36708107095161	50.3696903709713	50.3704019982494	50.37111362552749	50.373011298269084	50.373722925547185	50.37443455282528	50.37514618010338	50.37633222556687	50.37751827103037	50.37870431649386	50.37989036195736	50.38060198923545	50.38226245288434	50.38510896199673	50.390801980221504	50.40313685304185	50.422350789550464	50.4821274809106	50.586499481698134
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hyp_both_S30_R1_001 - polya	0.006017855436240476	0.010511945991596295	0.01452452684459256	0.018858114165828527	0.02262689263788325	0.026157963788519964	0.030841001189105478	0.036393600415049174	0.04568450281542989	0.05697255305302344	0.0610724964258571	0.0655218898780403	0.07042231773496535	0.07520693946094319	0.08078595061148888	0.08564980811127271	0.09082248196024915	0.095844811007645	0.10048111961855005	0.10545265650324973	0.11014382064986662	0.11536728666153923	0.12019863717719752	0.1251701740618972	0.1299933978315241	0.13456266078767024	0.13915020892238697	0.1438251195769411	0.14868491370370923	0.15375397154078554	0.15869503312786754	0.16379050288954583	0.16865842376234533	0.17346945741292516	0.17848569140079745	0.183538495745811	0.18850596925749497	0.19387571669773251	0.19945675953478606	0.20438156762980528
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hyp_both_S30_R2_001 - polya	0.02656226940358136	0.036482994621394406	0.041068511069603304	0.04592627350986359	0.04999574158507956	0.05357963658492027	0.057817734640287465	0.06589775188199185	0.07473761987763071	0.08445517644465914	0.08803297638497631	0.09198867001575288	0.09703334761473503	0.10199269438038763	0.1068849954912813	0.11244572146325638	0.11859766820901471	0.12372970832783424	0.12926808574822302	0.13488569894241778	0.13961546513268375	0.14462763574754037	0.1501172526917408	0.15808552717551366	0.16395100612366567	0.16852636413933533	0.17280306423835162	0.17742921441671744	0.1821549172339677	0.1865941522536117	0.19128734808673645	0.19609838173731625	0.20083627467361362	0.2050642142964416	0.20902397130023387	0.21359729762939567	0.21812795854189274	0.2228760099107293	0.22720756554545743	0.23144972697384034
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_Hyp_both_S30_R2_001 - polyg	0.3138752485971611	0.31454976851776606	0.314696049946331	0.31484436306140373	0.3149703276248902	0.31508207038282177	0.3152039715732925	0.31566516441057363	0.31788986113666523	0.31900119365645707	0.32113243280318776	0.32282482766422366	0.3314879389336799	0.3323839126836401	0.33275571131457593	0.33344648472724364	0.3337837446875461	0.3340112935764249	0.3342571276438743	0.3345049933978315	0.33478333444940644	0.3350312002033637	0.3352343688541483	0.3354578543700114	0.3357016567509529	0.3359820294890357	0.3362705289731499	0.3365630918302797	0.33683736950883897	0.33708117188978054	0.3373615446278633	0.3376602025445167	0.33795276540164654	0.33828799367544116	0.3386374437547907	0.33899908395318734	0.33940745294126445	0.33988286758410047	0.3406772570086683	0.3416687200244973
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_IC_right_S16_R1_001 - polya	0.01472661240482808	0.019819482603851902	0.024300409105592332	0.029505677126566168	0.03378678527817325	0.03824523221552367	0.04365781177476086	0.050219346847264826	0.06070981022926583	0.07397774867812043	0.07909309844153427	0.08429087327437809	0.08985831205496862	0.0954157599180525	0.10141530588080641	0.10696775828513694	0.11287239053157751	0.11836489743086803	0.12360763139249187	0.12890531540040237	0.1345651701679296	0.1401575862422868	0.145742509128514	0.15139487070791122	0.15678996616151172	0.16197025688871888	0.16741530692985274	0.1730401934861066	0.17874001192366049	0.18450477132500773	0.1900996851287416	0.1957670330843988	0.20105972163355598	0.20659718766162652	0.21196730582146037	0.21751476276703754	0.22346934960101147	0.22941894097623203	0.23587806914429266	0.2416553171925232
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_IC_right_S16_R2_001 - polya	0.05145072742996161	0.061544051841072575	0.06617983756416636	0.07148751248958353	0.07618074598834065	0.08002974695778435	0.08427338916874143	0.09265077349808223	0.10264418873412652	0.1127974586502775	0.11667143691348787	0.12091507912444495	0.1261103562279121	0.13112579681625927	0.13625363522655642	0.14184605130091363	0.14795799508561755	0.15318574267098137	0.15848592440826856	0.16394096536690908	0.16865168297130287	0.1736921008534167	0.17895231892067717	0.1860533635385412	0.1917806569992384	0.19660876788433554	0.20108469892732264	0.20577043923794977	0.21075340934440023	0.21550658834819736	0.2203496856095545	0.22534014890413498	0.23011081201356876	0.2344918293402425	0.2389627649244763	0.24361353702383007	0.24809696125494715	0.25293256532817426	0.25784809674145476	0.26238647101885854
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_IC_right_S16_R2_001 - polyg	0.2141827917785639	0.2149670788028373	0.21511444483606065	0.21529677908055733	0.21543165646689735	0.21558152022949736	0.21571389988646072	0.21612852296298743	0.21784696077413426	0.21858628866962765	0.2199500489092878	0.22114396355133456	0.22725590733603848	0.22798524431402523	0.22832243777987526	0.22888442688962532	0.22916167485043534	0.22940395459997204	0.22963374570262537	0.2298735277227854	0.23016326433047876	0.23041553499752213	0.23068029431144882	0.23093506270786884	0.23116235608114552	0.2313996403719289	0.23167189287398557	0.23195163856417228	0.23218142966682562	0.23247865946264898	0.2327134460240557	0.23301067581987905	0.23331789653320908	0.23360513541152578	0.23393733341862247	0.23426203823758918	0.23465418174972585	0.23509877757877257	0.23566576214727597	0.23654246515848604
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
11_Fasting_PFC_right_S82_R1_001 - polya	0.01255949254497506	0.0170754599827442	0.02115295992929823	0.025564884233558703	0.029597794265751876	0.03357125107879724	0.038481096093420625	0.044220808958648876	0.05432537899631224	0.06623831778305486	0.07074189913350154	0.07582514937063937	0.08105703265564673	0.08604862584659836	0.09120619260767096	0.09629935171466676	0.10164270978557627	0.10688450194044159	0.11189839008857365	0.11711045563386507	0.12214911595664206	0.12758413107373778	0.13272435731255894	0.138050374861217	0.14301471866005921	0.14797163080650794	0.15289881634338276	0.15807124640924233	0.16315697386384465	0.16863162446037225	0.17391305209466945	0.1792960456450108	0.18435452370750374	0.189455114466893	0.19437982278630336	0.19966125042060057	0.20485349822617605	0.21036282986720653	0.21637255943606443	0.22189675438188186
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
