Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
10_Fasting_Hip_right_S3_R1_001										4.332505153763791	0.9999645240517784	2.0106170229921583	0.8207893141271713	1.2861700038453066	0.5006104407136365	1.1316825646365203
10_Fasting_Hip_right_S3_R2_001										4.170888328614979	1.0413705068370316	2.2778808244235775	0.7155737295785087	1.4018976618563277	0.6542347060815692	0.7637171518374211
10_Fasting_Hyp_both_S24_R1_001										5.9283215453455576	1.1961649843562867	2.4982508113603514	1.2409199895263867	2.8261280319390227	1.1645930913270577	4.2728303656793996
10_Fasting_Hyp_both_S24_R2_001										6.046779136682943	1.191964127125048	2.722957102369606	1.3124480820149056	2.8245015390182195	1.2509026412178705	3.490571964052066
10_Fasting_IC_right_S2_R1_001										4.421048257971013	0.9810964209183262	2.4644570981533387	1.1122978042921343	1.704352548968165	0.595176657687994	1.7908513026660848
10_Fasting_IC_right_S2_R2_001										4.299249718735046	0.9478353590325365	2.600241688728957	1.1800266776802855	1.5695797055827416	0.8132191732974995	1.5912314350985395
10_Fasting_PFC_right_S62_R1_001										6.741237900984591	1.212349315922908	2.192916908054761	0.9723002209857856	1.357942043836855	0.3447323647412604	0.4530697883124819
10_Fasting_PFC_right_S62_R2_001										6.866877778034547	1.1867935491441348	2.5354447249124292	0.9192602856548309	1.428685304695033	0.34489038184862686	0.23164444118430896
10_Fasting_SC_right_S88_R1_001										0.19816581409281536	0.0	0.0	0.0	0.0	0.0	0.0
10_Fasting_SC_right_S88_R2_001										0.3041614820959491	0.0	0.0	0.0	0.0	0.0	0.0
11_Fasting_Hip_right_S35_R1_001										1.8058668018660333	1.135357379170514	3.294441118918222	0.9210161793228635	0.40384871737324507	0.0	54.31801414226926
11_Fasting_Hip_right_S35_R2_001										6.881474051826651	2.4876267143417987	3.678695856092563	0.8068768659191105	0.5898094481854367	1.7372702085957659	0.0
11_Fasting_Hyp_both_S30_R1_001										6.33773637342816	1.2678938569705824	2.934823325815403	1.4851729017285649	3.1137917323173574	1.1915415543493302	3.3491394772054357
11_Fasting_Hyp_both_S30_R2_001										6.268907224602091	1.1995622459546738	3.066769670280985	1.616787491342692	3.080807469438199	1.2961149544887722	3.162692557161591
11_Fasting_IC_right_S16_R1_001										4.687251524475955	1.0260319874038386	2.3997200507080945	1.163408996426707	1.9865401215324687	0.7848404913472573	1.745930108678
11_Fasting_IC_right_S16_R2_001										4.577779695228306	1.0339187016062386	2.690780773581603	1.147076454948361	1.969251607981704	0.894362879705151	1.4415710075713917
11_Fasting_PFC_right_S82_R1_001										5.463251460085241	1.1335736825407021	2.194887833713247	0.9145683382285176	1.7860084154672133	0.8619091619875769	2.0046644100087665
11_Fasting_PFC_right_S82_R2_001										5.373952310325151	1.1250941003936599	2.352502003415299	0.8326735806009462	1.6112806370580393	0.8594025853279971	2.015554763491908
11_Fasting_SC_right_S40_R1_001										5.610023025045822	1.139173414433328	2.5600733580669734	1.118394727121494	2.1508977597035637	0.7197366671271921	1.47267230529869
11_Fasting_SC_right_S40_R2_001										5.513480573258038	1.2593057014327673	2.7057372639690116	1.1831561126678773	2.0062076399861755	0.9619612548066148	1.3092247195800446
12_Fasting_Hip_right_S77_R1_001										8.269637121551277	1.5908767989675947	2.614361244979362	1.0308015770656849	2.44771555958075	0.8104606791620929	2.9657410652088574
12_Fasting_Hip_right_S77_R2_001										8.215722943609741	1.4418934572952475	2.62730517724256	1.2291766915180624	2.380113942225986	0.9337477081465709	2.767467422595383
12_Fasting_Hyp_both_S23_R1_001										1.7348035829813595	0.6948525623428758	1.4247986884404424	0.10049520529752337	0.0	0.0	44.17817079738793
12_Fasting_Hyp_both_S23_R2_001										5.66214248970119	2.188328931000336	3.197164958964803	0.5505371506540718	0.40478782326258234	0.9752510120605844	0.0
12_Fasting_IC_right_S37_R1_001										4.719655565669422	1.0107534070053863	2.6355634963421886	1.2142181822268272	2.0026355284888377	0.6744336312944392	1.9993031437271616
12_Fasting_IC_right_S37_R2_001										4.738024597992354	1.082764201554112	2.77248264486662	1.3558920330928481	1.780259660309073	0.8507839043201971	1.7783190554985555
12_Fasting_PFC_right_S52_R1_001										7.109912627483786	1.3548621982918108	2.6179676109512333	1.1363968659444605	2.660105579521074	1.042870671501795	2.260501598743432
12_Fasting_PFC_right_S52_R2_001										6.742513529876877	1.3067303736115268	2.893541940678988	1.2722925303692665	2.634569143377353	1.230110766588065	1.8587721574659302
12_Fasting_SC_right_S12_R1_001										4.679759862413204	1.1160943596148474	2.5226551527742154	1.2323933753776457	2.356074246241774	0.7384576472633129	2.9676226417411558
12_Fasting_SC_right_S12_R2_001										4.6017990424066655	1.1165037585809614	2.831121729277267	1.2244859167496074	2.3112939253656455	1.2409870988521747	1.7612386634278665
13_Highfatdiet_Hip_left_S73_R1_001										5.5770385307311034	1.0459429392057964	2.212267281133908	0.9655912124742763	1.5194336637637003	0.5522798755708352	1.1729314483566695
13_Highfatdiet_Hip_left_S73_R2_001										5.591211206615673	1.1520865903106057	2.5098866023922186	0.9185201616262603	1.6258610255633472	0.7276607878282981	0.8319937792478107
13_Highfatdiet_Hyp_both_S57_R1_001										5.102001974192675	1.0104521920203176	2.3499236933196808	0.935923515009114	1.753636551385703	0.7720663280212462	1.746606039119235
13_Highfatdiet_Hyp_both_S57_R2_001										5.2339926492079965	1.0649628930192665	2.49750261098209	1.030443216904531	1.8130404961300768	0.7626411071061632	1.4186735232650038
13_Highfatdiet_IC_left_S81_R1_001										4.569203743571211	1.052193794973307	2.3401006801099147	1.115227067755004	1.7331518456762296	0.6796535357377991	1.6689011511388903
13_Highfatdiet_IC_left_S81_R2_001										4.516436222018892	1.0090350992223553	2.6611916557841	1.1048356502387282	1.6361914582226824	0.7645214797358215	1.233691189558544
13_Highfatdiet_PFC_left_S7_R1_001										6.098568438673378	1.1941921121222614	2.346638982434924	0.9810744389382151	2.0727510627819887	0.8933220194504231	1.9818081892610953
13_Highfatdiet_PFC_left_S7_R2_001										5.905875415814431	1.1064804702997046	2.447677714609741	1.003106133155873	2.1397309024217877	1.2117559840369825	1.4575715200302475
