comparison,module,coef,pvalue,pvalue_bh
chow.vs.fast,HY__50,0.04283113098748517,3.6786299035989164e-4,0.2464682035411274
chow.vs.fast,HY__71,-0.027965882550775516,9.602221474383523e-4,0.321674419391848
chow.vs.HFD,HY__54,0.12215175184331314,0.0018235949319611543,0.33635708145911375
chow.vs.HFD,HPF__17,-0.040717707965832725,0.0022904364222387386,0.33635708145911375
chow.vs.HFD,HPF__25,-0.05090986061821454,0.0025101274735754757,0.33635708145911375
chow.vs.fast,SC__32,-0.06560488913867973,0.006400265214357093,0.4830956092573428
chow.vs.fast,IC__08,0.07363731462116473,0.006666270616759386,0.4830956092573428
chow.vs.HFD,HPF__05,-0.127856539244082,0.006735082107798029,0.4830956092573428
chow.vs.fast,IC__17,-0.10352119314782032,0.0077718853850599,0.4830956092573428
chow.vs.HFD,HPF__20,0.07601841849562285,0.007954230719745485,0.4830956092573428
chow.vs.fast,SC__10,0.14786450724541916,0.008310051364815484,0.4830956092573428
chow.vs.HFD,HPF__26,-0.10270594964386547,0.009759122895315032,0.4830956092573428
chow.vs.fast,SC__79,-0.040118119968224626,0.010134745122674585,0.4830956092573428
chow.vs.HFD,IC__26,0.01261491018554374,0.010710458453064843,0.4830956092573428
chow.vs.fast,SC__88,-0.13796125434720388,0.010815573341582303,0.4830956092573428
chow.vs.HFD,SC__15,0.08718855370179578,0.01274053630331694,0.5036828898260158
chow.vs.HFD,HPF__33,-0.09081281236614545,0.012930006468272316,0.5036828898260158
chow.vs.fast,PFC__75,0.07128501898211893,0.013814870770740133,0.5036828898260158
chow.vs.fast,HY__33,-0.019256482022662266,0.014916580289661651,0.5036828898260158
chow.vs.fast,PFC__69,-0.037067683902441646,0.015035310144060175,0.5036828898260158
chow.vs.HFD,HPF__11,0.09821085391432809,0.015964749318231816,0.5093515258673961
chow.vs.fast,IC__03,-0.08714868915818602,0.017504293602195017,0.5330853051577573
chow.vs.HFD,HPF__32,0.07044281728306975,0.02079502487734506,0.5581271774099955
chow.vs.HFD,HY__59,0.03214188909655904,0.020855991122598106,0.5581271774099955
chow.vs.fast,IC__15,0.047189732193900845,0.02113761641068842,0.5581271774099955
chow.vs.fast,HY__53,0.15100719323436934,0.026964394506560713,0.5581271774099955
chow.vs.HFD,IC__47,-0.09119551907955008,0.027064438017588097,0.5581271774099955
chow.vs.HFD,HPF__38,0.08216343129680681,0.027203778041739353,0.5581271774099955
chow.vs.HFD,HPF__24,0.08680965395993002,0.027284279466229737,0.5581271774099955
chow.vs.HFD,HY__41,0.01590552934060154,0.02818423009825892,0.5581271774099955
chow.vs.HFD,HY__20,-0.023404868484702596,0.0282156544979088,0.5581271774099955
chow.vs.fast,HY__78,-0.10381092166265926,0.028501660691575982,0.5581271774099955
chow.vs.fast,SC__27,-0.0387841191693886,0.029902490188460584,0.5581271774099955
chow.vs.fast,SC__30,-0.06501295044499965,0.03047714530815971,0.5581271774099955
chow.vs.HFD,HY__43,-0.01469036173112309,0.030804138151880815,0.5581271774099955
chow.vs.fast,SC__31,0.0759638093887118,0.03208188748295899,0.5581271774099955
chow.vs.fast,SC__66,-0.04906464331339145,0.03279481873991431,0.5581271774099955
chow.vs.fast,HY__54,-0.08463111426583657,0.03417909211269297,0.5581271774099955
chow.vs.HFD,HY__71,0.013377741360059101,0.034842554355859465,0.5581271774099955
chow.vs.HFD,HPF__27,-0.11813542888205927,0.037041362428732225,0.5581271774099955
